accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc_ovr_macro,seed,feature_set,model_name,split_type,train_rows,test_rows
0.4675324675324675,0.5304565762231666,0.5281171679197995,0.44173516401095964,0.5245275457425892,0.7359379924934436,0,financial_only,logistic_regression,stratified,305,77
0.33766233766233766,0.4940898345153664,0.5148026315789473,0.3397530864197531,0.37058201058201057,0.6660974685645739,0,financial_only,naive_bayes,stratified,305,77
0.5844155844155844,0.41478129713423834,0.4292763157894737,0.4194053208137715,0.5748429973782087,0.7393036353092745,0,financial_only,random_forest,stratified,305,77
0.5844155844155844,0.5008417508417509,0.5053258145363408,0.5009297615759919,0.5884404466011757,0.7427306915793759,0,financial_only,xgboost,stratified,305,77
0.5714285714285714,0.5450016469038208,0.6032268170426066,0.5220458553791887,0.5982958840101696,0.7470670628800328,0,financial_enriched,logistic_regression,stratified,305,77
0.4025974025974026,0.5538992408557626,0.5553728070175439,0.3912518210567459,0.446935433184234,0.7503392849492473,0,financial_enriched,naive_bayes,stratified,305,77
0.6753246753246753,0.46082621082621084,0.49396929824561403,0.4765724471606825,0.6528627980117667,0.8451238176332162,0,financial_enriched,random_forest,stratified,305,77
0.6493506493506493,0.5778619528619529,0.5896773182957394,0.582952182952183,0.6516834516834517,0.8000786937582051,0,financial_enriched,xgboost,stratified,305,77
0.6493506493506493,0.5454545454545454,0.5491854636591479,0.5421130773243449,0.6651908342049186,0.7295931277369249,0,esg_only,logistic_regression,stratified,305,77
0.12987012987012986,0.41304347826086957,0.28853383458646614,0.1307017543859649,0.12412850307587149,0.6389965967268599,0,esg_only,naive_bayes,stratified,305,77
0.7142857142857143,0.8034188034188033,0.5996240601503758,0.634524516877458,0.7054899094624075,0.8131255814291528,0,esg_only,random_forest,stratified,305,77
0.6753246753246753,0.5936507936507937,0.5667293233082707,0.5761648745519713,0.6685518782292975,0.7759427280808859,0,esg_only,xgboost,stratified,305,77
0.6233766233766234,0.5226158645276292,0.5283521303258145,0.5208333333333334,0.6378066378066378,0.7428015150054623,0,esg_financial,logistic_regression,stratified,305,77
0.33766233766233766,0.609090909090909,0.5115131578947368,0.34637992831541214,0.39593911464879206,0.6691152197496182,0,esg_financial,naive_bayes,stratified,305,77
0.6753246753246753,0.5671347622567134,0.5295269423558897,0.5352158390133074,0.6615283450726489,0.822874149659864,0,esg_financial,random_forest,stratified,305,77
0.6493506493506493,0.548015873015873,0.5475407268170426,0.5474024183701603,0.6476534218469703,0.8082488252835996,0,esg_financial,xgboost,stratified,305,77
0.6753246753246753,0.5796221322537112,0.6022869674185464,0.5788263762855413,0.68781907747425,0.7752703741190583,0,esg_financial_enriched,logistic_regression,stratified,305,77
0.35064935064935066,0.5749643874643874,0.5202850877192983,0.35341101056961605,0.401092759918721,0.7026320666593223,0,esg_financial_enriched,naive_bayes,stratified,305,77
0.7272727272727273,0.8127917833800188,0.5679041353383458,0.5823232323232324,0.7071822117276663,0.8821845612964033,0,esg_financial_enriched,random_forest,stratified,305,77
0.7532467532467533,0.679691653375864,0.6631422305764411,0.6704453441295547,0.7516483516483516,0.8726824214841132,0,esg_financial_enriched,xgboost,stratified,305,77
0.3684210526315789,0.5220354808590103,0.4658730158730158,0.37179822872545243,0.42165271669740384,0.6196783273373977,0,financial_only,logistic_regression,grouped,306,76
0.23684210526315788,0.5134502923976608,0.43203463203463205,0.23376068376068374,0.22893049932523615,0.5932437121275915,0,financial_only,naive_bayes,grouped,306,76
0.5131578947368421,0.4403409090909091,0.44610389610389606,0.4410483467828323,0.5201967999338487,0.6980162599940886,0,financial_only,random_forest,grouped,306,76
0.4868421052631579,0.4503367003367003,0.4896103896103896,0.4542483660130719,0.49600103199174417,0.7003728125860772,0,financial_only,xgboost,grouped,306,76
0.4342105263157895,0.36611611611611616,0.35624098124098125,0.35652841781874045,0.44426388552025226,0.5941462368047651,0,financial_enriched,logistic_regression,grouped,306,76
0.3026315789473684,0.5114478114478115,0.47907647907647916,0.30586513565236967,0.3260856040811248,0.6253443606597487,0,financial_enriched,naive_bayes,grouped,306,76
0.5789473684210527,0.5307359307359307,0.558008658008658,0.5403508771929825,0.5819153146022952,0.7267298216619018,0,financial_enriched,random_forest,grouped,306,76
0.5526315789473685,0.5148467432950191,0.5705266955266955,0.5267282102809933,0.5588231243575436,0.7312725654038923,0,financial_enriched,xgboost,grouped,306,76
0.47368421052631576,0.4534188034188034,0.5128066378066378,0.4522942145892966,0.48463371543613126,0.6471711016777497,0,esg_only,logistic_regression,grouped,306,76
0.11842105263157894,0.37089201877934275,0.3434343434343434,0.08711839166046165,0.04686091625191049,0.6059431870601418,0,esg_only,naive_bayes,grouped,306,76
0.5394736842105263,0.5294372294372294,0.5294372294372294,0.5294372294372294,0.5394736842105263,0.709521233681255,0,esg_only,random_forest,grouped,306,76
0.5263157894736842,0.5037493158182813,0.5509018759018759,0.5196620583717357,0.5267402376910016,0.6781823138509603,0,esg_only,xgboost,grouped,306,76
0.4473684210526316,0.4347319347319347,0.49260461760461766,0.4280510018214936,0.46088582111015247,0.6796054015635028,0,esg_financial,logistic_regression,grouped,306,76
0.23684210526315788,0.4009553664726078,0.43030303030303024,0.23225735617039966,0.23081010332154497,0.6459231231123227,0,esg_financial,naive_bayes,grouped,306,76
0.5526315789473685,0.5266389384036443,0.538961038961039,0.5320456540825286,0.5537405850006931,0.7542115630607422,0,esg_financial,random_forest,grouped,306,76
0.4868421052631579,0.4555229716520039,0.4901875901875902,0.4666666666666666,0.48987240829346096,0.7248276174544485,0,esg_financial,xgboost,grouped,306,76
0.5657894736842105,0.496221322537112,0.5146103896103896,0.4959623906246485,0.5700958229300221,0.6496990260378203,0,esg_financial_enriched,logistic_regression,grouped,306,76
0.2631578947368421,0.45073891625615764,0.4487734487734487,0.25289853861282435,0.260429944640471,0.6508899842960268,0,esg_financial_enriched,naive_bayes,grouped,306,76
0.6447368421052632,0.606945655332752,0.6067821067821068,0.6064814814814815,0.6438230994152047,0.7814106260510701,0,esg_financial_enriched,random_forest,grouped,306,76
0.5789473684210527,0.5365196078431372,0.558008658008658,0.5453239192369627,0.5809384106866945,0.7806603225349681,0,esg_financial_enriched,xgboost,grouped,306,76
0.37662337662337664,0.4786967418546366,0.38901942355889724,0.36138065289008686,0.44900642932987955,0.6146032817085448,1,financial_only,logistic_regression,stratified,305,77
0.2987012987012987,0.496264367816092,0.3380325814536341,0.2896427614584755,0.3467684709097487,0.5908336163975262,1,financial_only,naive_bayes,stratified,305,77
0.6883116883116883,0.626984126984127,0.5399436090225563,0.5497150997150997,0.6716505716505717,0.8054691157839655,1,financial_only,random_forest,stratified,305,77
0.6753246753246753,0.6189024390243902,0.5667293233082707,0.5827100115074799,0.6676131693392913,0.7677774067341736,1,financial_only,xgboost,stratified,305,77
0.4935064935064935,0.5344523505443046,0.4389880952380952,0.44381669805398616,0.5674419742216352,0.6788834685921152,1,financial_enriched,logistic_regression,stratified,305,77
0.4155844155844156,0.5709534368070953,0.49631892230576447,0.40942545109211775,0.48476985976985976,0.6592176029206104,1,financial_enriched,naive_bayes,stratified,305,77
0.7532467532467533,0.7497459349593495,0.6631422305764411,0.6914437092443421,0.7480908044774558,0.8456089475826317,1,financial_enriched,random_forest,stratified,305,77
0.7792207792207793,0.7682926829268292,0.6823308270676692,0.7102991944764097,0.7735716527431142,0.8379221481665091,1,financial_enriched,xgboost,stratified,305,77
0.5714285714285714,0.524467178175618,0.5643796992481204,0.5092031425364758,0.5949276312912676,0.7269336535783903,1,esg_only,logistic_regression,stratified,305,77
0.45454545454545453,0.4715504978662874,0.5417449874686716,0.35738562091503273,0.41717341482047365,0.7158387230285728,1,esg_only,naive_bayes,stratified,305,77
0.6623376623376623,0.7703703703703703,0.5223997493734336,0.5383358471593765,0.6459471900648371,0.7997785118320833,1,esg_only,random_forest,stratified,305,77
0.6493506493506493,0.6518847006651884,0.5491854636591479,0.5747484582927621,0.6419352799099635,0.743835244399154,1,esg_only,xgboost,stratified,305,77
0.5844155844155844,0.5419753086419753,0.5764411027568922,0.5246544317664291,0.6152101655591188,0.7341038225906648,1,esg_financial,logistic_regression,stratified,305,77
0.33766233766233766,0.4887596899224806,0.4272399749373434,0.29869281045751633,0.34871403106697224,0.6262437802381412,1,esg_financial,naive_bayes,stratified,305,77
0.7402597402597403,0.6604495456719274,0.5766760651629073,0.5848783190555342,0.7221483285925173,0.8248763698011818,1,esg_financial,random_forest,stratified,305,77
0.7012987012987013,0.583829365079365,0.5470708020050125,0.5520833333333334,0.6857142857142857,0.7840113294530587,1,esg_financial,xgboost,stratified,305,77
0.5974025974025974,0.5145833333333333,0.5091635338345865,0.500544616673649,0.6251350660232101,0.761986927024521,1,esg_financial_enriched,logistic_regression,stratified,305,77
0.38961038961038963,0.5168408826945412,0.4672619047619048,0.36136363636363633,0.42775482093663914,0.6761165734849944,1,esg_financial_enriched,naive_bayes,stratified,305,77
0.8441558441558441,0.8917378917378916,0.6939223057644109,0.7256882551000198,0.8312922965329382,0.8842061560341635,1,esg_financial_enriched,random_forest,stratified,305,77
0.7792207792207793,0.6917562724014337,0.6418389724310777,0.6562650312650312,0.7683186222147261,0.8407881348670821,1,esg_financial_enriched,xgboost,stratified,305,77
0.5,0.567037037037037,0.5595595595595596,0.477658303464755,0.5420769666100735,0.7101915797892436,1,financial_only,logistic_regression,grouped,306,76
0.3684210526315789,0.52270955165692,0.4953953953953954,0.3708742756361804,0.3986752595775152,0.6766028145651767,1,financial_only,naive_bayes,grouped,306,76
0.6447368421052632,0.5820195650416363,0.5633633633633633,0.5706102003642988,0.6408761144664942,0.7819160734637697,1,financial_only,random_forest,grouped,306,76
0.5921052631578947,0.5208909370199692,0.5252252252252252,0.5225369891029943,0.5954981734606865,0.7708421894664594,1,financial_only,xgboost,grouped,306,76
0.5657894736842105,0.5948717948717949,0.584984984984985,0.5326170126170126,0.6129618919092603,0.7774907014037448,1,financial_enriched,logistic_regression,grouped,306,76
0.4605263157894737,0.5889550264550264,0.5626626626626626,0.4579348471931592,0.5091924766578152,0.7172581157006855,1,financial_enriched,naive_bayes,grouped,306,76
0.7236842105263158,0.642015392015392,0.6237237237237236,0.6303272450532723,0.7210481254506128,0.8947022460487744,1,financial_enriched,random_forest,grouped,306,76
0.6710526315789473,0.6218487394957983,0.6654654654654655,0.6343307219629621,0.6770682486777367,0.8515420202311832,1,financial_enriched,xgboost,grouped,306,76
0.47368421052631576,0.40573476702508965,0.3838838838838839,0.3907171791316641,0.49465329736133823,0.6281439628616786,1,esg_only,logistic_regression,grouped,306,76
0.10526315789473684,0.1384335154826958,0.21851851851851853,0.0989010989010989,0.07764603817235396,0.51569110916937,1,esg_only,naive_bayes,grouped,306,76
0.5789473684210527,0.5,0.4601601601601602,0.4607090643274854,0.5625432825484765,0.7127367671170397,1,esg_only,random_forest,grouped,306,76
0.5921052631578947,0.48333333333333334,0.4670670670670671,0.4653467488910527,0.5738482037615948,0.6901157309658283,1,esg_only,xgboost,grouped,306,76
0.4868421052631579,0.4109062980030722,0.3928928928928929,0.3988022864170615,0.5051269504312961,0.6698610181089091,1,esg_financial,logistic_regression,grouped,306,76
0.32894736842105265,0.46412181894034205,0.406006006006006,0.32716049382716045,0.3725633528265107,0.5855739806096717,1,esg_financial,naive_bayes,grouped,306,76
0.5789473684210527,0.5010860484544696,0.4601601601601602,0.46102564102564103,0.5637584345479083,0.7516622247965531,1,esg_financial,random_forest,grouped,306,76
0.5526315789473685,0.48164906988436407,0.44004004004004,0.44152046783625726,0.5373961218836566,0.7282127857403653,1,esg_financial,xgboost,grouped,306,76
0.5657894736842105,0.4977633477633478,0.5030030030030029,0.49384236453201974,0.5815238527352866,0.7272755434014356,1,esg_financial_enriched,logistic_regression,grouped,306,76
0.39473684210526316,0.5454545454545454,0.45735735735735733,0.3945857260049221,0.4568455593454514,0.6535852779850184,1,esg_financial_enriched,naive_bayes,grouped,306,76
0.6710526315789473,0.6749622926093514,0.5617617617617617,0.5771926243451043,0.6614642085925162,0.8349561761631845,1,esg_financial_enriched,random_forest,grouped,306,76
0.6447368421052632,0.6056277056277056,0.5913913913913914,0.5973389355742297,0.646423042901371,0.8134989454587119,1,esg_financial_enriched,xgboost,grouped,306,76
0.5454545454545454,0.5699454866121533,0.5517700501253132,0.5006535947712418,0.6023427552839317,0.7742084913137545,2,financial_only,logistic_regression,stratified,305,77
0.36363636363636365,0.5071138211382114,0.49678884711779453,0.3609523809523809,0.4031354359925788,0.6895714178608916,2,financial_only,naive_bayes,stratified,305,77
0.7272727272727273,0.672609819121447,0.6149749373433583,0.6250029708853239,0.7207482001064889,0.8684716121041309,2,financial_only,random_forest,stratified,305,77
0.6883116883116883,0.6447154471544716,0.6242167919799498,0.6265831938676419,0.6863483011750537,0.7983089783371738,2,financial_only,xgboost,stratified,305,77
0.6363636363636364,0.581353767560664,0.6164630325814536,0.5692189006750241,0.6653668799859735,0.7770726227963071,2,financial_enriched,logistic_regression,stratified,305,77
0.42857142857142855,0.49344799344799345,0.537359022556391,0.4109090909090909,0.47050767414403777,0.6589163881927039,2,financial_enriched,naive_bayes,stratified,305,77
0.8051948051948052,0.8666666666666667,0.6271146616541353,0.6386375062845651,0.7829866212219154,0.8750361193735254,2,financial_enriched,random_forest,stratified,305,77
0.7922077922077922,0.7323817323817323,0.7332393483709273,0.7326984126984127,0.7923809523809524,0.8807751024386362,2,financial_enriched,xgboost,stratified,305,77
0.6363636363636364,0.5779949874686716,0.6503759398496242,0.5914786967418547,0.6402369560264296,0.7953222877095057,2,esg_only,logistic_regression,stratified,305,77
0.5454545454545454,0.5109243697478991,0.606437969924812,0.44410220814715196,0.4723242138972476,0.7342488547375764,2,esg_only,naive_bayes,stratified,305,77
0.6753246753246753,0.7773826458036984,0.5716635338345865,0.6072124756335283,0.6681096681096681,0.7830990498988619,2,esg_only,random_forest,stratified,305,77
0.6493506493506493,0.6362934362934363,0.5913220551378446,0.6075375554232015,0.6484830436587434,0.7587258745153482,2,esg_only,xgboost,stratified,305,77
0.6753246753246753,0.5961111111111111,0.6394893483709273,0.6041385515069725,0.6784443626548889,0.8342118077550408,2,esg_financial,logistic_regression,stratified,305,77
0.38961038961038963,0.4649572649572649,0.462327694235589,0.3330905921230477,0.39298992330223187,0.7146858293474835,2,esg_financial,naive_bayes,stratified,305,77
0.7272727272727273,0.8166666666666668,0.6116854636591479,0.6445966514459665,0.7191286643341438,0.8627523479027239,2,esg_financial,random_forest,stratified,305,77
0.6883116883116883,0.7045223577235772,0.6159931077694236,0.6452939202148062,0.6846352726674936,0.8310828582445123,2,esg_financial,xgboost,stratified,305,77
0.5974025974025974,0.5083943833943834,0.5414317042606517,0.5097402597402597,0.6034744476302918,0.8176501426031502,2,esg_financial_enriched,logistic_regression,stratified,305,77
0.5064935064935064,0.5347222222222222,0.5850563909774437,0.443368321417102,0.5097328511962658,0.7151483332874311,2,esg_financial_enriched,naive_bayes,stratified,305,77
0.7532467532467533,0.830488383119962,0.6275845864661654,0.6616238664293584,0.7441495702365267,0.904361053350715,2,esg_financial_enriched,random_forest,stratified,305,77
0.7792207792207793,0.7674242424242425,0.6823308270676692,0.7100233100233101,0.7740623013350286,0.8876927896664739,2,esg_financial_enriched,xgboost,stratified,305,77
0.5066666666666667,0.5755153343388638,0.5925925925925927,0.47267025089605735,0.5623118279569892,0.7245105940758115,2,financial_only,logistic_regression,grouped,307,75
0.3333333333333333,0.5370370370370371,0.47138047138047146,0.33607317687807964,0.39041966253277355,0.6949695500420138,2,financial_only,naive_bayes,grouped,307,75
0.6533333333333333,0.7669376693766937,0.5185185185185185,0.5425685425685426,0.6403463203463203,0.7846083733764893,2,financial_only,random_forest,grouped,307,75
0.6533333333333333,0.6049288617886179,0.5176767676767676,0.5324841824841825,0.6409310689310689,0.761212351792062,2,financial_only,xgboost,grouped,307,75
0.5733333333333334,0.5503907032658786,0.5496632996632996,0.5029069213320372,0.6192051238062561,0.8159927833840878,2,financial_enriched,logistic_regression,grouped,307,75
0.38666666666666666,0.5019323671497584,0.4604377104377104,0.3685799284914981,0.4469676574142307,0.6947970172607855,2,financial_enriched,naive_bayes,grouped,307,75
0.68,0.7829153605015674,0.5816498316498316,0.6233870967741936,0.6718709677419354,0.839599142135374,2,financial_enriched,random_forest,grouped,307,75
0.68,0.7138888888888889,0.6742424242424242,0.6909065593276119,0.6785995291258449,0.838407164494121,2,financial_enriched,xgboost,grouped,307,75
0.5066666666666667,0.47739139515455303,0.5909090909090908,0.46212198593150977,0.5026136340422055,0.7634001800668466,2,esg_only,logistic_regression,grouped,307,75
0.4,0.5258064516129032,0.5580808080808081,0.3499657996737815,0.39311643895680237,0.7626835054371286,2,esg_only,naive_bayes,grouped,307,75
0.64,0.7537537537537538,0.5555555555555555,0.5984126984126984,0.6365714285714287,0.8465948973195351,2,esg_only,random_forest,grouped,307,75
0.6266666666666667,0.6172149122807018,0.5900673400673401,0.601915201915202,0.6251914571914572,0.8032490858577814,2,esg_only,xgboost,grouped,307,75
0.5333333333333333,0.4871530258527163,0.6102693602693603,0.4953548866592345,0.5240133779264214,0.7759047179337034,2,esg_financial,logistic_regression,grouped,307,75
0.32,0.5195189639222942,0.4570707070707071,0.3025600457812263,0.35179371518017943,0.7301097989503788,2,esg_financial,naive_bayes,grouped,307,75
0.72,0.703045903045903,0.6127946127946128,0.6391500283522845,0.714362968931865,0.8941875354918833,2,esg_financial,random_forest,grouped,307,75
0.72,0.6857142857142856,0.6590909090909091,0.670633426225804,0.7192950214656926,0.8468601983094737,2,esg_financial,xgboost,grouped,307,75
0.6,0.5679361004136357,0.6574074074074074,0.5371933621933622,0.5952251082251082,0.816270417719693,2,esg_financial_enriched,logistic_regression,grouped,307,75
0.4266666666666667,0.5527065527065527,0.4873737373737374,0.39259259259259255,0.48088888888888887,0.7260951608777694,2,esg_financial_enriched,naive_bayes,grouped,307,75
0.7733333333333333,0.8434303697875688,0.696127946127946,0.7406204906204906,0.7698268398268399,0.9061234659060746,2,esg_financial_enriched,random_forest,grouped,307,75
0.7733333333333333,0.8437328954570334,0.7415824915824917,0.7789357595809209,0.7719900744416873,0.8806861415557069,2,esg_financial_enriched,xgboost,grouped,307,75
0.4155844155844156,0.5363214021750607,0.4913847117794487,0.4032608695652174,0.4792819499341238,0.666465117310982,3,financial_only,logistic_regression,stratified,305,77
0.23376623376623376,0.4205627705627705,0.39920112781954886,0.23823366555924697,0.2579029497634149,0.5889510482555594,3,financial_only,naive_bayes,stratified,305,77
0.5844155844155844,0.5325611325611326,0.5053258145363408,0.5143934881874132,0.5821982266294357,0.7588901951918868,3,financial_only,random_forest,stratified,305,77
0.5844155844155844,0.5409035409035409,0.6152882205513784,0.5606606606606607,0.5872118872118872,0.758574052653,3,financial_only,xgboost,stratified,305,77
0.5064935064935064,0.44682539682539685,0.48002819548872183,0.45509376623175263,0.5139621640772883,0.6342482809588073,3,financial_enriched,logistic_regression,stratified,305,77
0.2597402597402597,0.40377928949357517,0.4200344611528822,0.261984126984127,0.2797835497835498,0.6541603933521227,3,financial_enriched,naive_bayes,stratified,305,77
0.6493506493506493,0.5496031746031745,0.5103383458646616,0.5166666666666666,0.6357142857142858,0.8131505981834929,3,financial_enriched,random_forest,stratified,305,77
0.6233766233766234,0.5878489326765188,0.5671992481203008,0.5755674653215637,0.6203378588624491,0.7879376784451972,3,financial_enriched,xgboost,stratified,305,77
0.4805194805194805,0.41421568627450983,0.41870300751879697,0.3974358974358975,0.49134199134199136,0.6504333751044278,3,esg_only,logistic_regression,stratified,305,77
0.14285714285714285,0.3147605083088954,0.29401629072681706,0.13976798448848138,0.13992376547833513,0.554168694018318,3,esg_only,naive_bayes,stratified,305,77
0.6753246753246753,0.6598581560283687,0.6022869674185464,0.6203302373581011,0.6678983555144545,0.8014344947380664,3,esg_only,random_forest,stratified,305,77
0.6493506493506493,0.5788327526132404,0.5863878446115288,0.5807313642756681,0.6493944873691709,0.7488870795731698,3,esg_only,xgboost,stratified,305,77
0.5064935064935064,0.44838738259790895,0.4395363408521303,0.4246554246554246,0.5321405321405321,0.6879310608633918,3,esg_financial,logistic_regression,stratified,305,77
